merchant_id,nombre_comercio,segmento_comercial,tipo_negocio_ciiu,tipo_negocio_desc,fecha_onboarding,fecha_ultima_transaccion,region,ciudad,latitud,longitud,ejecutivo_cuenta
DEU-260D26B5,Doña Pancho Mini,Mediana,G4721.01,Fruterías y mercados,2022-01-22,2026-03-01,Guayas,Guayaquil,-2.198697,-79.914427,Esteban Ruiz
DEU-CECA49B1,Super Kléber Mini,Micro,G4711.01,Tiendas de abarrotes y víveres,2021-12-26,2026-03-17,Pichincha,Quito,-0.162052,-78.45836,Auto-gestionado
DEU-228A1878,El Martita Mini,Micro,I5630.01,Cafeterías y panaderías,2025-04-09,2026-03-30,Pichincha,Quito,-0.223245,-78.477198,Auto-gestionado
DEU-7EF8AE77,Mi Rosita,Mediana,I5610.02,Comida rápida y food trucks,2023-01-05,2026-02-17,Guayas,Guayaquil,-2.160475,-79.901588,Oswaldo Ñacato
DEU-85F483DF,Tía Juanito Express,Micro,G4711.01,Tiendas de abarrotes y víveres,2022-06-30,2026-03-31,Loja,Loja,-4.056037,-79.063118,Esteban Ruiz
DEU-191089FE,La Carmita Market,Micro,I5610.02,Comida rápida y food trucks,2021-09-21,2026-03-23,Pichincha,Quito,-0.15486,-78.579273,Auto-gestionado
DEU-E0DC839E,El Martita Plus,Micro,I5610.01,Restaurantes y picanterías,2025-12-25,2026-03-11,Cotopaxi,Latacunga,-0.872557,-78.403019,Auto-gestionado
DEU-FAF01E32,Farmacia Sana Express,Mediana,G4774.01,Farmacias y artículos médicos,2022-01-06,2026-03-23,Azuay,Cuenca,-2.923926,-79.032097,Andrea Vásconez
DEU-469E4066,Mi Rosita,Micro,G4773.01,Bazares y papelerías,2024-01-28,2026-03-25,Pichincha,Quito,-0.09822,-78.393298,Auto-gestionado
DEU-8D854ACB,Tía Carmita,Micro,I5610.01,Restaurantes y picanterías,2023-09-23,2026-03-16,Los Ríos,Babahoyo,-1.816119,-79.567031,Andrea Vásconez
DEU-8D022377,Tía Carmita Center,Mediana,G4773.01,Bazares y papelerías,2023-01-15,2026-03-13,Guayas,Guayaquil,-2.194244,-79.902795,Kevin Jaramillo
DEU-B89F7FB1,Mi Manuelito Express,Micro,G4711.01,Tiendas de abarrotes y víveres,2024-11-27,2026-03-27,Pichincha,Quito,-0.2942,-78.384401,Auto-gestionado
