merchant_id,mes_reporte,tpv_mensual,count_trx,ticket_promedio,tasa_rechazo,dias_sin_transaccion_max,dias_desde_ultima_trx,tickets_soporte_abiertos,tickets_soporte_resueltos,tiempo_resolucion_prom_hrs,severidad_prom_tickets
DEU-260D26B5,2025-04-01,22576.53,2745,8.22,0.0286,5,0,1,0,0.0,0.02
DEU-260D26B5,2025-05-01,10479.42,3954,2.65,0.0163,0,0,0,0,0.0,0.0
DEU-260D26B5,2025-06-01,18805.72,2922,6.44,0.0563,1,1,0,0,0.0,0.0
DEU-260D26B5,2025-07-01,16390.29,3004,5.46,0.0307,1,0,0,0,0.0,0.0
DEU-260D26B5,2025-08-01,22086.74,1699,13.0,0.0212,0,0,1,0,0.0,1.16
DEU-260D26B5,2025-09-01,28368.27,3536,8.02,0.0823,4,0,0,0,0.0,0.0
DEU-260D26B5,2025-10-01,16988.69,2903,5.85,0.0193,0,0,0,0,0.0,0.0
DEU-260D26B5,2025-11-01,30665.92,3124,9.82,0.038,0,0,0,0,0.0,0.0
DEU-260D26B5,2025-12-01,14700.39,2376,6.19,0.0699,2,2,1,0,0.0,0.04
DEU-260D26B5,2026-01-01,25940.92,3975,6.53,0.021,0,0,0,0,0.0,0.0
DEU-260D26B5,2026-02-01,25129.34,4055,6.2,0.0496,1,0,0,0,0.0,0.0
DEU-260D26B5,2026-03-01,15155.32,2505,6.05,0.0213,0,0,1,0,0.0,0.0
DEU-CECA49B1,2025-04-01,1549.23,131,11.83,0.0163,1,0,0,0,0.0,0.0
DEU-CECA49B1,2025-05-01,2108.31,200,10.54,0.0,3,3,1,0,0.0,1.97
DEU-CECA49B1,2025-06-01,1969.02,182,10.82,0.0502,0,0,0,0,0.0,0.0
DEU-CECA49B1,2025-07-01,1695.44,342,4.96,0.0287,3,2,0,0,0.0,0.0
DEU-CECA49B1,2025-08-01,2379.68,199,11.96,0.0315,0,0,0,0,0.0,0.0
DEU-CECA49B1,2025-09-01,2511.96,275,9.13,0.0556,2,2,1,0,0.0,0.0
DEU-CECA49B1,2025-10-01,1466.6,215,6.82,0.0142,2,2,2,0,0.0,0.0
DEU-CECA49B1,2025-11-01,1707.0,197,8.66,0.0483,0,0,3,2,31.2,2.27
DEU-CECA49B1,2025-12-01,4555.44,575,7.92,0.0539,0,0,0,0,0.0,0.0
DEU-CECA49B1,2026-01-01,2020.28,197,10.26,0.0305,0,0,0,0,0.0,0.0
DEU-CECA49B1,2026-02-01,1562.54,173,9.03,0.0704,0,0,1,0,0.0,0.32
DEU-CECA49B1,2026-03-01,1936.05,250,7.74,0.0616,0,0,0,0,0.0,0.0
DEU-228A1878,2025-04-01,1030.33,112,9.2,0.0048,0,0,0,0,0.0,0.0
DEU-228A1878,2025-05-01,792.02,222,3.57,0.0168,0,0,0,0,0.0,0.0
DEU-228A1878,2025-06-01,1244.55,258,4.82,0.0353,0,0,0,0,0.0,0.0
DEU-228A1878,2025-07-01,901.74,151,5.97,0.0178,0,0,2,0,0.0,2.25
DEU-228A1878,2025-08-01,1499.45,244,6.15,0.0999,2,2,0,0,0.0,0.0
DEU-228A1878,2025-09-01,787.06,102,7.72,0.0804,0,0,0,0,0.0,0.0
DEU-228A1878,2025-10-01,1054.09,270,3.9,0.0173,0,0,0,0,0.0,0.0
DEU-228A1878,2025-11-01,1167.56,235,4.97,0.0019,0,0,4,2,71.9,1.88
DEU-228A1878,2025-12-01,654.89,87,7.53,0.0875,0,0,2,1,82.7,4.73
DEU-228A1878,2026-01-01,392.33,129,3.04,0.1287,13,0,4,1,96.5,2.38
DEU-228A1878,2026-02-01,405.54,52,7.8,0.212,16,0,5,2,113.0,3.57
DEU-228A1878,2026-03-01,139.75,24,5.82,0.2184,23,11,0,0,0.0,0.0
DEU-7EF8AE77,2025-04-01,16651.83,1816,9.17,0.0273,0,0,0,0,0.0,0.0
DEU-7EF8AE77,2025-05-01,16660.49,3184,5.23,0.0083,6,4,0,0,0.0,0.0
DEU-7EF8AE77,2025-06-01,12356.27,3896,3.17,0.0051,0,0,0,0,0.0,0.0
DEU-7EF8AE77,2025-07-01,23384.63,3770,6.2,0.0929,0,0,0,0,0.0,0.0
DEU-7EF8AE77,2025-08-01,27539.52,3886,7.09,0.0176,1,0,0,0,0.0,0.0
DEU-7EF8AE77,2025-09-01,25164.28,3649,6.9,0.0646,1,1,0,0,0.0,0.0
DEU-7EF8AE77,2025-10-01,14205.88,3550,4.0,0.1121,0,0,1,0,0.0,0.0
DEU-7EF8AE77,2025-11-01,12483.69,2093,5.96,0.0436,0,0,0,0,0.0,0.0
DEU-7EF8AE77,2025-12-01,30796.0,3615,8.52,0.0,0,0,1,0,0.0,0.0
DEU-7EF8AE77,2026-01-01,13332.3,3330,4.0,0.0213,0,0,0,0,0.0,0.0
DEU-7EF8AE77,2026-02-01,17013.99,4114,4.14,0.074,0,0,2,0,0.0,2.19
DEU-7EF8AE77,2026-03-01,25516.37,3914,6.52,0.0469,0,0,0,0,0.0,0.0
DEU-85F483DF,2025-04-01,1259.8,247,5.1,0.0194,1,1,2,0,0.0,2.74
DEU-85F483DF,2025-05-01,1344.96,199,6.76,0.0267,0,0,0,0,0.0,0.0
DEU-85F483DF,2025-06-01,1268.12,135,9.39,0.04,0,0,0,0,0.0,0.0
DEU-85F483DF,2025-07-01,2155.08,281,7.67,0.0316,0,0,0,0,0.0,0.0
DEU-85F483DF,2025-08-01,2352.07,197,11.94,0.0573,0,0,0,0,0.0,0.0
DEU-85F483DF,2025-09-01,1081.91,171,6.33,0.0784,0,0,0,0,0.0,0.0
DEU-85F483DF,2025-10-01,1932.45,219,8.82,0.072,1,0,0,0,0.0,0.0
DEU-85F483DF,2025-11-01,1114.09,115,9.69,0.0692,2,0,1,0,0.0,0.03
DEU-85F483DF,2025-12-01,4366.79,544,8.03,0.0251,0,0,0,0,0.0,0.0
DEU-85F483DF,2026-01-01,754.46,100,7.54,0.1093,4,0,0,0,0.0,0.0
DEU-85F483DF,2026-02-01,1975.03,263,7.51,0.0435,3,0,0,0,0.0,0.0
DEU-85F483DF,2026-03-01,1835.75,192,9.56,0.0,0,0,1,0,0.0,0.0
DEU-191089FE,2025-04-01,1209.36,216,5.6,0.0122,0,0,0,0,0.0,0.0
DEU-191089FE,2025-05-01,1717.97,151,11.38,0.0143,7,0,0,0,0.0,0.0
DEU-191089FE,2025-06-01,430.58,188,2.29,0.0081,2,0,2,0,0.0,2.95
DEU-191089FE,2025-07-01,965.16,216,4.47,0.0155,0,0,1,0,0.0,0.06
DEU-191089FE,2025-08-01,1322.55,258,5.13,0.0184,0,0,1,0,0.0,0.13
DEU-191089FE,2025-09-01,1571.62,285,5.51,0.0886,0,0,0,0,0.0,0.0
DEU-191089FE,2025-10-01,1350.59,222,6.08,0.0036,0,0,1,0,0.0,0.0
DEU-191089FE,2025-11-01,860.65,268,3.21,0.057,2,2,1,0,0.0,2.49
DEU-191089FE,2025-12-01,1914.72,368,5.2,0.0745,0,0,0,0,0.0,0.0
DEU-191089FE,2026-01-01,1005.88,291,3.46,0.0227,1,0,1,0,0.0,0.0
DEU-191089FE,2026-02-01,1023.6,152,6.73,0.0339,0,0,0,0,0.0,0.0
DEU-191089FE,2026-03-01,1550.76,268,5.79,0.0716,0,0,0,0,0.0,0.0
DEU-E0DC839E,2025-12-01,5121.09,488,10.49,0.0834,3,0,0,0,0.0,0.0
DEU-E0DC839E,2026-01-01,4193.87,301,13.93,0.0459,6,0,1,0,0.0,0.0
DEU-E0DC839E,2026-02-01,3438.77,437,7.87,0.0436,0,0,0,0,0.0,0.0
DEU-E0DC839E,2026-03-01,4567.4,261,17.5,0.0459,0,0,0,0,0.0,0.0
DEU-FAF01E32,2025-04-01,101918.27,3175,32.1,0.008,0,0,0,0,0.0,0.0
DEU-FAF01E32,2025-05-01,60595.91,4431,13.68,0.0605,0,0,1,0,0.0,0.0
DEU-FAF01E32,2025-06-01,70233.61,1304,53.86,0.0379,0,0,0,0,0.0,0.0
DEU-FAF01E32,2025-07-01,49226.93,3209,15.34,0.0326,0,0,0,0,0.0,0.0
DEU-FAF01E32,2025-08-01,66152.81,5450,12.14,0.0232,0,0,0,0,0.0,0.0
DEU-FAF01E32,2025-09-01,59607.73,3249,18.35,0.078,0,0,0,0,0.0,0.0
DEU-FAF01E32,2025-10-01,20363.12,2519,8.08,0.0428,0,0,1,0,0.0,0.0
DEU-FAF01E32,2025-11-01,41940.26,3241,12.94,0.0069,0,0,1,0,0.0,3.16
DEU-FAF01E32,2025-12-01,115876.73,3948,29.35,0.0104,0,0,0,0,0.0,0.0
DEU-FAF01E32,2026-01-01,63097.67,2891,21.83,0.0512,0,0,1,0,0.0,0.0
DEU-FAF01E32,2026-02-01,56891.96,4660,12.21,0.0627,3,0,1,0,0.0,0.09
DEU-FAF01E32,2026-03-01,52415.15,2133,24.57,0.0303,0,0,0,0,0.0,0.0
DEU-469E4066,2025-04-01,698.94,67,10.43,0.0207,2,2,0,0,0.0,0.0
DEU-469E4066,2025-05-01,2029.15,268,7.57,0.0414,0,0,1,0,0.0,0.0
DEU-469E4066,2025-06-01,984.93,257,3.83,0.0161,0,0,0,0,0.0,0.0
DEU-469E4066,2025-07-01,1311.96,169,7.76,0.0078,2,0,2,0,0.0,1.93
DEU-469E4066,2025-08-01,1110.6,134,8.29,0.0328,1,0,2,1,24.9,2.15
DEU-469E4066,2025-09-01,648.85,114,5.69,0.0348,3,0,0,0,0.0,0.0
DEU-469E4066,2025-10-01,1015.54,198,5.13,0.0535,0,0,0,0,0.0,0.0
DEU-469E4066,2025-11-01,1724.77,224,7.7,0.0194,0,0,0,0,0.0,0.0
DEU-469E4066,2025-12-01,3013.9,328,9.19,0.0151,2,1,2,1,46.6,2.72
DEU-469E4066,2026-01-01,1086.93,94,11.56,0.1339,5,0,6,2,66.9,3.24
DEU-469E4066,2026-02-01,425.91,93,4.58,0.164,9,0,5,1,144.1,3.29
DEU-469E4066,2026-03-01,395.67,70,5.65,0.2016,18,17,0,0,0.0,0.0
DEU-8D854ACB,2025-04-01,2001.09,202,9.91,0.0184,2,0,1,0,0.0,0.2
DEU-8D854ACB,2025-05-01,2599.99,175,14.86,0.052,0,0,0,0,0.0,0.0
DEU-8D854ACB,2025-06-01,2871.64,244,11.77,0.0134,1,1,0,0,0.0,0.0
DEU-8D854ACB,2025-07-01,1763.14,225,7.84,0.0219,0,0,0,0,0.0,0.0
DEU-8D854ACB,2025-08-01,2684.54,178,15.08,0.0212,4,2,0,0,0.0,0.0
DEU-8D854ACB,2025-09-01,3032.95,172,17.63,0.0638,0,0,0,0,0.0,0.0
DEU-8D854ACB,2025-10-01,2697.11,183,14.74,0.0067,0,0,0,0,0.0,0.0
DEU-8D854ACB,2025-11-01,3206.97,227,14.13,0.1203,0,0,1,0,0.0,0.12
DEU-8D854ACB,2025-12-01,4116.4,248,16.6,0.0423,0,0,0,0,0.0,0.0
