ticket_id,merchant_id,fecha_apertura,fecha_cierre,categoria,severidad,estado,tiempo_resolucion_hrs,satisfaccion_post_cierre
TKT-85663C54F2,DEU-002EDE5E,2025-05-20 14:38:00,,consulta_general,1,en_proceso,,
TKT-77F970D403,DEU-002EDE5E,2026-01-12 07:25:00,,pago_rechazado,3,abierto,,
TKT-1B1BF6035A,DEU-002EDE5E,2026-02-02 09:00:00,2026-02-03 13:00:00,liquidacion_demora,2,resuelto,28.0,4.0
TKT-0878AED8F6,DEU-002EDE5E,2026-02-17 13:52:00,,pago_rechazado,1,abierto,,
TKT-BA65C8336D,DEU-008245A3,2025-06-26 09:14:00,,liquidacion_demora,2,en_proceso,,
TKT-2CD9320FF5,DEU-008245A3,2025-12-28 21:11:00,,liquidacion_demora,2,en_proceso,,
TKT-8609BCA732,DEU-00DE02C6,2025-05-21 14:00:00,,app_congelada,3,escalado,,
TKT-7C692C8595,DEU-00ECE948,2025-09-23 11:52:00,,consulta_general,2,abierto,,
TKT-4A84BCEFA5,DEU-00FE2FBF,2025-05-28 17:36:00,,roles_vendedor,2,abierto,,
TKT-1AE14AB261,DEU-00FE2FBF,2025-10-03 10:57:00,2025-10-05 17:27:00,liquidacion_demora,2,resuelto,54.5,2.0
TKT-62EFE5BD7C,DEU-00FE2FBF,2025-10-25 07:53:00,,liquidacion_demora,3,en_proceso,,
TKT-0EC6408F61,DEU-00FE2FBF,2025-10-29 11:48:00,2025-10-30 20:06:00,cierre_caja,2,resuelto,32.3,2.0
TKT-68B4B304FD,DEU-00FE2FBF,2025-11-03 14:31:00,,app_congelada,3,abierto,,
TKT-BBC447FA02,DEU-00FE2FBF,2025-11-03 16:22:00,2025-11-08 08:40:00,pago_rechazado,3,resuelto,112.3,1.0
TKT-49B2043B89,DEU-00FE2FBF,2025-11-06 13:34:00,,roles_vendedor,3,escalado,,
TKT-BB1EF8A00D,DEU-00FE2FBF,2025-11-13 17:17:00,,app_congelada,3,abierto,,
TKT-E7F2D54054,DEU-00FE2FBF,2025-11-14 10:51:00,2025-11-20 20:57:00,pago_rechazado,4,resuelto,154.1,
TKT-E5F8DA9747,DEU-00FE2FBF,2025-11-24 13:06:00,,roles_vendedor,4,abierto,,
TKT-7EB9A4C9F3,DEU-00FE2FBF,2025-12-05 17:15:00,,facturacion_comisiones,5,abierto,,
TKT-2D1228EFFF,DEU-00FE2FBF,2025-12-11 17:18:00,,consulta_general,2,en_proceso,,
TKT-05C710EAC6,DEU-00FE2FBF,2025-12-18 16:13:00,,facturacion_comisiones,4,abierto,,
